"css"	"msd"	"msd_sd"
30	0.000624767905716368	0.000360484840073402
50	0.000323065527201399	0.00018646174920614
70	0.000311472324674697	0.00017977265374119
90	0.000212144651583477	0.000122455798869579
110	0.000201014244625243	0.000116032308788801
130	0.000171682027286865	9.91036532750416e-05
150	0.000221675631605274	0.000127956127115352
170	0.000215573466457701	0.000124434579880969
190	0.000144291683799119	8.32948254673335e-05
210	0.000121256721449542	6.99991139363443e-05
230	0.000114774909707544	6.62577211649332e-05
250	7.00783036705244e-05	4.04568925368392e-05
270	8.57866785771185e-05	4.95247137732136e-05
290	7.69183105084996e-05	4.44053919527286e-05
